Schema,Name,Type,Owner,Persistence,Access method,Size,Description
main,alembic_version,table,sqlite,permanent,heap,16 kB,
main,alembic_version_version_num_seq,sequence,sqlite,permanent,,8192 bytes,
main,user,table,sqlite,permanent,heap,16 kB,
main,user_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,post,table,sqlite,permanent,heap,16 kB,
main,post_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,followers,table,sqlite,permanent,heap,16 kB,
main,followers_follower_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,message,table,sqlite,permanent,heap,16 kB,
main,message_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,notification,table,sqlite,permanent,heap,16 kB,
main,notification_id_seq,sequence,sqlite,permanent,,8192 bytes,
main,task,table,sqlite,permanent,heap,16 kB,
main,task_id_seq,sequence,sqlite,permanent,,8192 bytes,
